Title,Body
Add composite storage model and metadata,"Store composite name, area_ids, primary_area, timestamps, and enabled status. Ensure schema migration path."
Implement same-floor composite validation,"Reject cross-floor membership at validation time with clear error messages."
Implement scope resolver room-floor-concierge,"Create deterministic effective value resolver with precedence room > floor > concierge."
Extend update_composite_config for rename and membership edits,"Support name and area_ids updates in a single deterministic transaction."
Implement sync_composites service,"Rebuild projections and validate invocation parity and membership integrity."
Implement stale composite device cleanup,"When membership changes, remove stale devices from composite snapshots and selectors."
Build main UI three-tier layout,"Render concierge-wide, floor-wide, and room-card sections."
Add merge mode on main UI,"Add merge button, name input, and room-card checkboxes for selection."
Enforce same-floor selection in merge UI,"Prevent cross-floor selections and show inline validation."
Render composite tile replacement behavior,"Replace member room cards with one composite tile that lists member rooms."
Add composite edit panel,"Add edit action, rename input, and member checklist."
Support partial unmerge projection updates,"Unjoined room card returns; remaining members stay as composite."
Support full composite dismantle,"If all members removed, delete composite and restore all room cards."
Build composite device union selectors,"Selectors are union of devices across member rooms with deterministic ordering and dedupe."
Add category grouping in composite detail,"Lights, lamps(label), speakers, voice assistants, shades, tv, sensors."
Gate room/composite options by global capabilities,"Show/hide AI, TTS, and Asset Intelligence dependent options."
Implement voice invocation promotion to composite,"Invocation from any member-room voice endpoint resolves to composite context."
Enforce execution parity across member rooms,"Same command from any member room resolves and executes identically."
Implement update_floor_config service,"Add floor defaults for thermostat/HVAC and media routing."
Implement get_floor_config service,"Return floor config plus effective defaults and diagnostics."
Add Music Assistant global enable plus floor defaults,"Global capability toggle with floor routing defaults and room overrides."
Implement floor-scoped thermostat defaults with room overrides,"Thermostat/HVAC defaults at floor scope, explicit room exceptions supported."
Add tests for same-floor and cross-floor merge behavior,"Validate merge constraints and user-facing error responses."
Add tests for rename, partial unmerge, full dismantle,"Validate projection updates and stale reference cleanup."
Add tests for composite invocation determinism,"Validate composite context promotion and consistent execution from any member room."
Add diagnostics for composite and effective scope snapshots,"Expose composite membership and resolved settings in diagnostics payload."
Prepare release checklist execution,"Run tests and validations, update docs and manifest version, verify HACS and hassfest."
